attacking_type,defending_type,multiplier
Fire,Fire,0.5
Fire,Water,0.5
Fire,Grass,2
Fire,Electric,1
Fire,Ground,1
Fire,Flying,1
Water,Fire,2
Water,Water,0.5
Water,Grass,0.5
Water,Electric,1
Water,Ground,2
Water,Flying,1
Grass,Fire,0.5
Grass,Water,2
Grass,Grass,0.5
Grass,Electric,1
Grass,Ground,2
Grass,Flying,0.5
Electric,Fire,1
Electric,Water,2
Electric,Grass,0.5
Electric,Electric,0.5
Electric,Ground,0
Electric,Flying,2
Ground,Fire,2
Ground,Water,1
Ground,Grass,0.5
Ground,Electric,2
Ground,Ground,1
Ground,Flying,0
Flying,Fire,1
Flying,Water,1
Flying,Grass,2
Flying,Electric,0.5
Flying,Ground,1
Flying,Flying,1
